Item No.,Description,Foreign Name,Item Type,Item Group,UoM Group,Bar Code,Price List,Unit Price,Inventory Item,Sales Item,Purchase Item,Virtual Item,Status,Asset Class,Asset Group,Depreciation Group,Inventory No.,Serial Number,Location,Technician,Employee,Capitalization Date,Statistical Asset,Cession,Depreciation Area,Fiscal Year,Historical APC,Acquisition and Production Costs,Net Book Value,Historical NBV,Ordinary Depreciation,Unplanned Depreciation,Special Depreciation,Write-Up,Salvage Value,Quantity,Depreciation Start Date,Depreciation End Date,Useful Life (Months),Remaining Life (Months),Depreciation Type
IM1001,Office Laptop,Dell XPS 15,Fixed Assets,Electronics,Manual,BC001,Primary,1200,AUD,Yes,Yes,No,No,Active,LAP.ELE.001,Electronics,Tangible,LAP001,SN001,Melbourne,Smith,Jones,15.03.20,No,No,Main Area,2020,0,1200,1000,1000,100,0,0,0,200,1,01.03.20,28.02.28,96,96,SL0000
IM1002,Projector,Epson X200,Fixed Assets,Electronics,Manual,BC002,Primary,800,AUD,Yes,Yes,No,No,Active,PRO.ELE.002,Electronics,Tangible,PRO002,SN002,Sydney,Lee,Kim,10.04.20,No,No,Main Area,2020,0,800,700,700,80,0,0,0,100,1,01.04.20,31.03.28,96,96,SL0000
IM1003,Printer,HP LaserJet,Fixed Assets,Electronics,Manual,BC003,Primary,400,AUD,Yes,Yes,No,No,Active,PRI.ELE.003,Electronics,Tangible,PRI003,SN003,Brisbane,Clark,Brown,20.05.20,No,No,Main Area,2020,0,400,350,350,40,0,0,0,50,1,01.05.20,30.04.28,96,96,SL0000
IM1004,Workstation,Dell Precision,Fixed Assets,Electronics,Manual,BC004,Primary,2500,AUD,Yes,Yes,No,No,Active,WKS.ELE.004,Electronics,Tangible,WKS004,SN004,Perth,Williams,Johnson,25.06.20,No,No,Main Area,2020,0,2500,2200,2200,250,0,0,0,300,1,01.06.20,31.05.28,96,96,SL0000
IM1005,Vehicle,Toyota Camry,Fixed Assets,Motor Vehicle,Manual,BC005,Primary,20000,AUD,Yes,Yes,No,No,Active,VEH.MV.005,Motor Vehicle,Tangible,VEH005,SN005,Sydney,Davis,Garcia,15.07.20,No,No,Main Area,2020,0,20000,18000,18000,2000,0,0,0,2000,1,01.07.20,30.06.28,96,96,SL0000
IM1006,Server,Dell PowerEdge,Fixed Assets,Electronics,Manual,BC006,Primary,5000,AUD,Yes,Yes,No,No,Active,SRV.ELE.006,Electronics,Tangible,SRV006,SN006,Melbourne,Wilson,Martinez,10.08.20,No,No,Main Area,2020,0,5000,4500,4500,500,0,0,0,500,1,01.08.20,31.07.28,96,96,SL0000
IM1007,Air Conditioner,Daikin Split,Fixed Assets,Electronics,Manual,BC007,Primary,1200,AUD,Yes,Yes,No,No,Active,AC.ELE.007,Electronics,Tangible,AC007,SN007,Brisbane,Anderson,Taylor,05.09.20,No,No,Main Area,2020,0,1200,1000,1000,100,0,0,0,200,1,01.09.20,31.08.28,96,96,SL0000
IM1008,Mobile Phone,Samsung Galaxy,Fixed Assets,Electronics,Manual,BC008,Primary,1000,AUD,Yes,Yes,No,No,Active,MP.ELE.008,Electronics,Tangible,MP008,SN008,Perth,Thomas,Moore,15.10.20,No,No,Main Area,2020,0,1000,900,900,100,0,0,0,100,1,01.10.20,30.09.28,96,96,SL0000
IM1009,Desktop Computer,HP Pavilion,Fixed Assets,Electronics,Manual,BC009,Primary,1500,AUD,Yes,Yes,No,No,Active,DPC.ELE.009,Electronics,Tangible,DPC009,SN009,Sydney,Jackson,White,20.11.20,No,No,Main Area,2020,0,1500,1300,1300,150,0,0,0,200,1,01.11.20,31.10.28,96,96,SL0000
IM1010,Tablet,Apple iPad,Fixed Assets,Electronics,Manual,BC010,Primary,800,AUD,Yes,Yes,No,No,Active,TAB.ELE.010,Electronics,Tangible,TAB010,SN010,Melbourne,Harris,Martin,25.12.20,No,No,Main Area,2020,0,800,700,700,80,0,0,0,100,1,01.12.20,30.11.28,96,96,SL0000
IM1011,Camera,Canon EOS,Fixed Assets,Electronics,Manual,BC011,Primary,2000,AUD,Yes,Yes,No,No,Active,CAM.ELE.011,Electronics,Tangible,CAM011,SN011,Brisbane,Thompson,King,15.01.21,No,No,Main Area,2021,0,2000,1800,1800,200,0,0,0,200,1,01.01.21,31.12.28,96,96,SL0000
IM1012,Monitor,Samsung UltraWide,Fixed Assets,Electronics,Manual,BC012,Primary,600,AUD,Yes,Yes,No,No,Active,MON.ELE.012,Electronics,Tangible,MON012,SN012,Perth,Martinez,Lopez,20.02.21,No,No,Main Area,2021,0,600,500,500,60,0,0,0,100,1,01.02.21,31.01.29,96,96,SL0000
IM1013,Headphones,Bose QC35,Fixed Assets,Electronics,Manual,BC013,Primary,400,AUD,Yes,Yes,No,No,Active,HDP.ELE.013,Electronics,Tangible,HDP013,SN013,Sydney,Robinson,Harris,25.03.21,No,No,Main Area,2021,0,400,350,350,40,0,0,0,50,1,01.03.21,28.02.29,96,96,SL0000
IM1014,Chair,Ergonomic Chair,Fixed Assets,Furniture,Manual,BC014,Primary,200,AUD,Yes,Yes,No,No,Active,CHR.FUR.014,Furniture,Tangible,CHR014,SN014,Melbourne,Clark,Thomas,30.04.21,No,No,Main Area,2021,0,200,180,180,20,0,0,0,20,1,01.04.21,31.03.29,96,96,SL0000
IM1015,Desk,Standing Desk,Fixed Assets,Furniture,Manual,BC015,Primary,300,AUD,Yes,Yes,No,No,Active,DSK.FUR.015,Furniture,Tangible,DSK015,SN015,Brisbane,Williams,Martinez,10.05.21,No,No,Main Area,2021,0,300,250,250,30,0,0,0,50,1,01.05.21,30.04.29,96,96,SL0000